# Raw memory samples, Step 3 (regressionGate.test.ts + cullingRatio.test.ts), 2026-09-11
# Polled every 2s via Get-Process (node/chrome/msedge/chromium/headless_shell WorkingSet64 sum) and Get-CimInstance Win32_OperatingSystem.FreePhysicalMemory
# totalWS_MB = combined working set of render-related processes; freeGB = system free physical memory

[1] t+2s totalWS_MB=418.7 freeGB=0.73
[2] t+4s totalWS_MB=321.7 freeGB=0.8
[3] t+6s totalWS_MB=325.2 freeGB=1.11
[4] t+8s totalWS_MB=336.3 freeGB=7.25
[5] t+10s totalWS_MB=351.5 freeGB=7.06
[6] t+12s totalWS_MB=363.6 freeGB=6.72
[7] t+14s totalWS_MB=315.8 freeGB=5.71
[8] t+16s totalWS_MB=320.1 freeGB=4.95
[9] t+18s totalWS_MB=320.3 freeGB=4.01
[10] t+20s totalWS_MB=320.3 freeGB=3.12
[11] t+22s totalWS_MB=322.8 freeGB=2.28
[12] t+24s totalWS_MB=325 freeGB=1.3
[13] t+26s totalWS_MB=328.3 freeGB=0.5
[14] t+28s totalWS_MB=337.2 freeGB=0.71
[15] t+30s totalWS_MB=338.1 freeGB=0.56
[16] t+32s totalWS_MB=338.6 freeGB=0.47
[17] t+34s totalWS_MB=205.8 freeGB=0.38
[18] t+36s totalWS_MB=213 freeGB=0.67
[19] t+38s totalWS_MB=214.6 freeGB=1.35
[20] t+40s totalWS_MB=216.9 freeGB=7.95
[21] t+42s totalWS_MB=245.2 freeGB=7.49
[22] t+44s totalWS_MB=247.7 freeGB=7.18
[23] t+46s totalWS_MB=248.2 freeGB=6.46
[24] t+48s totalWS_MB=248.2 freeGB=5.4
[25] t+50s totalWS_MB=251.8 freeGB=4.32
[26] t+52s totalWS_MB=269 freeGB=3.22
[27] t+54s totalWS_MB=269.3 freeGB=2.2
[28] t+56s totalWS_MB=270.1 freeGB=1.3
[29] t+58s totalWS_MB=271.8 freeGB=0.21
[30] t+60s totalWS_MB=182.9 freeGB=0.36
[31] t+62s totalWS_MB=191.8 freeGB=0.02
[32] t+64s totalWS_MB=185.7 freeGB=1.33
[33] t+66s totalWS_MB=204.7 freeGB=2.35
[34] t+68s totalWS_MB=217.4 freeGB=8.13
[35] t+70s totalWS_MB=224.4 freeGB=7.72
[36] t+72s totalWS_MB=223.3 freeGB=7.44
[37] t+74s totalWS_MB=225.8 freeGB=6.75
[38] t+76s totalWS_MB=243.8 freeGB=5.69
[39] t+78s totalWS_MB=251 freeGB=4.68
[40] t+80s totalWS_MB=261.2 freeGB=3.69
[41] t+82s totalWS_MB=263.5 freeGB=2.72
[42] t+84s totalWS_MB=267.6 freeGB=1.77
[43] t+86s totalWS_MB=268.4 freeGB=0.78
[44] t+88s totalWS_MB=270.4 freeGB=0.57
[45] t+90s totalWS_MB=270.5 freeGB=0.67
[46] t+92s totalWS_MB=272.2 freeGB=0.67
[47] t+94s totalWS_MB=256.3 freeGB=0.09
[48] t+96s totalWS_MB=158.2 freeGB=0.25
[49] t+98s totalWS_MB=121.4 freeGB=1.22
[50] t+100s totalWS_MB=172.2 freeGB=2.14
[51] t+102s totalWS_MB=182.9 freeGB=7.97
[52] t+104s totalWS_MB=202.1 freeGB=7.8
[53] t+106s totalWS_MB=205 freeGB=7.5
[54] t+108s totalWS_MB=207.3 freeGB=6.57
[55] t+110s totalWS_MB=207.5 freeGB=5.55
[56] t+112s totalWS_MB=209.9 freeGB=4.6
[57] t+114s totalWS_MB=212 freeGB=3.61
[58] t+116s totalWS_MB=213.5 freeGB=2.65
[59] t+118s totalWS_MB=249.1 freeGB=1.68
[60] t+120s totalWS_MB=251.7 freeGB=0.98
[61] t+122s totalWS_MB=251.8 freeGB=0.17
[62] t+124s totalWS_MB=261.7 freeGB=0.68
[63] t+126s totalWS_MB=204.5 freeGB=0.19
[64] t+128s totalWS_MB=192.2 freeGB=0.33
[65] t+130s totalWS_MB=208.2 freeGB=0.97
[66] t+132s totalWS_MB=209.9 freeGB=2.18
[67] t+134s totalWS_MB=207.8 freeGB=8.02
[68] t+136s totalWS_MB=189.8 freeGB=8.21
[69] t+138s totalWS_MB=220.1 freeGB=8.1
[70] t+140s totalWS_MB=289.8 freeGB=7.95
